#options: 2940x1474 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1601 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:72 out:72 type:B dur:2 cpbdur:2 q:30.86 aq:30.00 tex:3 mv:42 misc:755 imb:0 pmb:7 smb:17105 d:- ref:0 ;
in:71 out:73 type:b dur:2 cpbdur:2 q:31.18 aq:16.08 tex:37 mv:24 misc:747 imb:0 pmb:8 smb:17104 d:- ref:0 ;
in:73 out:74 type:b dur:2 cpbdur:2 q:30.55 aq:16.08 tex:32 mv:5 misc:731 imb:0 pmb:1 smb:17111 d:- ref:0 ;
in:78 out:75 type:P dur:2 cpbdur:2 q:29.44 aq:20.10 tex:25078 mv:1710 misc:3324 imb:250 pmb:531 smb:16331 d:- ref:0 ;
in:76 out:76 type:B dur:4 cpbdur:4 q:29.83 aq:20.72 tex:49 mv:4 misc:747 imb:0 pmb:1 smb:17111 d:- ref:0 ;
in:75 out:77 type:b dur:2 cpbdur:2 q:30.03 aq:31.00 tex:0 mv:0 misc:720 imb:0 pmb:0 smb:17112 d:- ref:0 ;
in:77 out:78 type:b dur:2 cpbdur:2 q:29.63 aq:15.08 tex:34 mv:8 misc:734 imb:0 pmb:2 smb:17110 d:- ref:0 ;
in:82 out:79 type:P dur:12 cpbdur:12 q:22.67 aq:15.29 tex:73839 mv:4066 misc:4991 imb:829 pmb:1010 smb:15273 d:- ref:0 ;
in:80 out:80 type:B dur:2 cpbdur:2 q:26.05 aq:24.97 tex:74 mv:71 misc:871 imb:1 pmb:22 smb:17089 d:- ref:0 ;
in:79 out:81 type:b dur:2 cpbdur:2 q:27.75 aq:28.00 tex:0 mv:3 misc:725 imb:0 pmb:1 smb:17111 d:- ref:0 ;
in:81 out:82 type:b dur:2 cpbdur:2 q:24.36 aq:15.70 tex:171 mv:549 misc:872 imb:69 pmb:8 smb:17035 d:- ref:0 ;
in:83 out:83 type:P dur:2 cpbdur:2 q:26.67 aq:15.78 tex:42651 mv:7624 misc:5365 imb:1075 pmb:1105 smb:14932 d:- ref:0 ;
in:84 out:84 type:P dur:2 cpbdur:2 q:28.19 aq:13.21 tex:4186 mv:4572 misc:2842 imb:809 pmb:251 smb:16052 d:- ref:0 ;
in:86 out:85 type:P dur:2 cpbdur:2 q:28.22 aq:15.71 tex:271435 mv:13108 misc:2321 imb:5151 pmb:297 smb:11664 d:- ref:0 ;
in:85 out:86 type:b dur:2 cpbdur:2 q:28.21 aq:21.55 tex:17308 mv:3940 misc:2472 imb:207 pmb:621 smb:16284 d:- ref:0 ;
in:87 out:87 type:P dur:2 cpbdur:2 q:28.51 aq:18.91 tex:219813 mv:11177 misc:2082 imb:4501 pmb:247 smb:12364 d:- ref:0 ;
in:88 out:88 type:P dur:2 cpbdur:2 q:28.74 aq:17.37 tex:163571 mv:9383 misc:2270 imb:3186 pmb:318 smb:13608 d:- ref:0 ;
in:90 out:89 type:P dur:2 cpbdur:2 q:28.93 aq:17.67 tex:293875 mv:8686 misc:2623 imb:3801 pmb:282 smb:13029 d:- ref:0 ;
in:89 out:90 type:b dur:2 cpbdur:2 q:28.84 aq:19.62 tex:8146 mv:4019 misc:2763 imb:268 pmb:1152 smb:15692 d:- ref:0 ;
in:91 out:91 type:P dur:2 cpbdur:2 q:29.38 aq:15.87 tex:23045 mv:3742 misc:2637 imb:1010 pmb:289 smb:15813 d:- ref:0 ;
in:92 out:92 type:P dur:2 cpbdur:2 q:29.35 aq:12.82 tex:7414 mv:2992 misc:2138 imb:833 pmb:365 smb:15914 d:- ref:0 ;
in:95 out:93 type:P dur:2 cpbdur:2 q:29.29 aq:17.94 tex:5524 mv:2786 misc:2002 imb:1006 pmb:314 smb:15792 d:- ref:0 ;
in:93 out:94 type:B dur:2 cpbdur:2 q:29.33 aq:13.00 tex:286 mv:2922 misc:1760 imb:96 pmb:537 smb:16479 d:- ref:0 ;
in:94 out:95 type:b dur:2 cpbdur:2 q:29.31 aq:15.01 tex:189 mv:1620 misc:1735 imb:91 pmb:549 smb:16472 d:- ref:0 ;
in:96 out:96 type:P dur:2 cpbdur:2 q:28.89 aq:14.96 tex:6665 mv:3074 misc:2205 imb:574 pmb:426 smb:16112 d:- ref:0 ;
in:97 out:97 type:P dur:2 cpbdur:2 q:28.84 aq:21.57 tex:10623 mv:2731 misc:2150 imb:518 pmb:295 smb:16299 d:- ref:0 ;
in:98 out:98 type:P dur:2 cpbdur:2 q:28.92 aq:11.74 tex:6476 mv:2026 misc:1866 imb:645 pmb:208 smb:16259 d:- ref:0 ;
in:99 out:99 type:P dur:2 cpbdur:2 q:28.81 aq:17.64 tex:7639 mv:1961 misc:1744 imb:650 pmb:195 smb:16267 d:- ref:0 ;
in:100 out:100 type:P dur:2 cpbdur:2 q:29.54 aq:10.59 tex:6348 mv:3225 misc:2163 imb:385 pmb:335 smb:16392 d:- ref:0 ;
in:101 out:101 type:P dur:2 cpbdur:2 q:29.52 aq:8.47 tex:3981 mv:2363 misc:2120 imb:578 pmb:250 smb:16284 d:- ref:0 ;
in:102 out:102 type:P dur:4 cpbdur:4 q:27.71 aq:7.86 tex:2922 mv:2151 misc:1759 imb:717 pmb:118 smb:16277 d:- ref:0 ;
